小行星622是谁发现的？	^ 622 Esther (1906 WP)	0
小行星622是谁发现的？	  小行星622以《希伯来圣经·以斯帖记》中记载的波斯帝国亚哈随鲁的王后以斯帖命名。	0
小行星622是谁发现的？	小行星622（622 Esther），是由美国天文学家乔尔·梅特卡夫于1906年11月13日在美国马萨诸塞州汤顿发现的主带小行星。	1
建筑门窗洞口尺寸系列标准起草单位是哪？	标准类别 StandardSort： 基础 	0
建筑门窗洞口尺寸系列标准起草单位是哪？	代替国标号 ReplacedStandard： GB/T 5824-1986 	0
建筑门窗洞口尺寸系列标准起草单位是哪？	英文标准名称： Size system of opening for windows and doors in building 	0
建筑门窗洞口尺寸系列标准起草单位是哪？	中国标准分类号(CCS)： Q70 	0
建筑门窗洞口尺寸系列标准起草单位是哪？	采用国际标准 AdoptedInternational Standard： 	0
建筑门窗洞口尺寸系列标准起草单位是哪？	中文标准名称 StandardTitle in Chinese： 建筑门窗洞口尺寸系列 	0
建筑门窗洞口尺寸系列标准起草单位是哪？	采标名称 AdoptedInternational Standard Name： 	0
建筑门窗洞口尺寸系列标准起草单位是哪？	起草单位 DraftingCommittee： 广东省建筑科学研究院、中国建筑标准设计研究院等	1
建筑门窗洞口尺寸系列标准起草单位是哪？	被代替国标号 ReplacedStandard: 	0
建筑门窗洞口尺寸系列标准起草单位是哪？	计划编号 Plan No： 20060941-T-333 	0
建筑门窗洞口尺寸系列标准起草单位是哪？	主管部门 Governor： 住房和城乡建设部 	0
建筑门窗洞口尺寸系列标准起草单位是哪？	采用国际标准号 AdoptedInternational Standard No： 	0
建筑门窗洞口尺寸系列标准起草单位是哪？	国际标准分类号(ICS)： 91.060.50 	0
建筑门窗洞口尺寸系列标准起草单位是哪？	发布日期 IssuanceDate： 2008-7-30 	0
建筑门窗洞口尺寸系列标准起草单位是哪？	归口单位 TechnicalCommittees： 住房和城乡建设部 	0
建筑门窗洞口尺寸系列标准起草单位是哪？	标准状态 StandardState： 现行 	0
建筑门窗洞口尺寸系列标准起草单位是哪？	实施日期 ExecuteDate： 2009-3-1 	0
建筑门窗洞口尺寸系列标准起草单位是哪？	采用程度 ApplicationDegree： 	0
建筑门窗洞口尺寸系列标准起草单位是哪？	复审确认日期 ReviewAffirmance Date： 	0
建筑门窗洞口尺寸系列标准起草单位是哪？	废止时间 RevocatoryDate： 	0
建筑门窗洞口尺寸系列标准起草单位是哪？	基本信息 标准号 StandardNo： GB/T 5824-2008	0
建筑门窗洞口尺寸系列标准起草单位是哪？	首次发布日期 FirstIssuance Date： 1986-1-31 	0
建筑门窗洞口尺寸系列标准起草单位是哪？	标准页码 Number ofPages: 	0
建筑门窗洞口尺寸系列标准起草单位是哪？	标准价格(元) Price(￥)： 	0
台北联营公车287路线(区间车)经过公共电视台吗？	湖光国宅	0
台北联营公车287路线(区间车)经过公共电视台吗？	美丽华、捷运剑南路站	0
台北联营公车287路线(区间车)经过公共电视台吗？	捷运圆山站	0
台北联营公车287路线(区间车)经过公共电视台吗？	湖光市场、成功路三段、内湖高中	0
台北联营公车287路线(区间车)经过公共电视台吗？	大都会客运	0
台北联营公车287路线(区间车)经过公共电视台吗？	捷运港墘站、内湖高工	0
台北联营公车287路线(区间车)经过公共电视台吗？	五分社区	0
台北联营公车287路线(区间车)经过公共电视台吗？	捷运文德站、碧湖公园	0
台北联营公车287路线(区间车)经过公共电视台吗？	忠三街口	0
台北联营公车287路线(区间车)经过公共电视台吗？	康宁医院、黄石公园、捷运大湖公园站、捷运内湖站	0
台北联营公车287路线(区间车)经过公共电视台吗？	捷运葫洲站、康宁护校	0
台北联营公车287路线(区间车)经过公共电视台吗？	圆山大饭店、台北市立美术馆、大同大学、大同公司	0
台北联营公车287路线(区间车)经过公共电视台吗？	东湖国中	0
台北联营公车287路线(区间车)经过公共电视台吗？	畅行台北公车客运资讯站	0
台北联营公车287路线(区间车)经过公共电视台吗？	捷运西湖站	0
台北联营公车287路线(区间车)经过公共电视台吗？	捷运大直站、大直高中	0
台北联营公车287路线(区间车)经过公共电视台吗？	台北联营287区间路线由大都会客运营运，起点站为东湖，终点站为捷运圆山站。	0
台北联营公车287路线(区间车)经过公共电视台吗？	公共电视台	1
oki c9300的电源电压是多少？	最大打印幅面 A3 	0
